City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,59.0,light rain,-53.16,-70.91,Hotel Dreams Del Estrecho
2,Yanliang,CN,45.0,clear sky,34.66,109.22,Pod Inn Xi'an Yanliang Renmin Road
5,Cheyenne,US,59.0,clear sky,41.14,-104.82,The Historic Plains Hotel
10,Ushuaia,AR,60.8,few clouds,-54.81,-68.31,Albatros Hotel
13,Tiznit,MA,65.21,overcast clouds,29.7,-9.73,Hotel Café Restaurant Assaka
18,Hobart,AU,52.0,overcast clouds,-42.88,147.33,St Ives Apartments
19,Castro,CL,64.4,broken clouds,-42.48,-73.76,Hotel Esmeralda
21,Busselton,AU,66.99,clear sky,-33.64,115.35,Observatory Guest House
22,Wanxian,CN,52.93,broken clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
24,Jalu,LY,63.97,clear sky,29.03,21.55,Jalu Hotel
28,Ivanava,BY,54.55,scattered clouds,52.14,25.53,Bed&Breakfast Valeria
29,Lianyuan,CN,49.59,broken clouds,27.69,111.67,Lianyuan Hotel
30,Vaini,IN,67.3,clear sky,15.34,74.49,Dandeli Lake County
34,Jinji,CN,67.64,few clouds,22.16,112.49,
37,Torbay,CA,61.0,light intensity drizzle,47.66,-52.73,See The Sea
46,Yulara,AU,69.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
47,Ngorongoro,TZ,68.0,light rain,-3.24,35.49,Simba Special Campsite B
50,Coquimbo,CL,64.4,broken clouds,-29.95,-71.34,Hotel San Juan
52,Carnarvon,ZA,64.53,clear sky,-30.97,22.13,Meerkat Manor
53,Emborion,GR,59.0,scattered clouds,40.48,21.55,Villa Kastanodasos
60,East London,ZA,64.4,scattered clouds,-33.02,27.91,Tu Casa
64,Lagoa,PT,68.0,few clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
74,Esperance,AU,57.2,clear sky,-33.86,121.89,Best Western Hospitality Inn Esperance
77,Port Alfred,ZA,64.99,clear sky,-33.59,26.89,The Halyards Hotel
79,Hermanus,ZA,66.99,clear sky,-34.42,19.24,Misty Waves Boutique Hotel
87,Mataura,NZ,45.0,broken clouds,-46.19,168.86,Ellie's Villa
89,Port Lincoln,AU,53.64,broken clouds,-34.72,135.86,Port Lincoln Hotel
94,Praia Da Vitoria,PT,62.6,broken clouds,38.73,-27.07,Hotel Branco I
100,Greymouth,NZ,55.4,light rain,-42.45,171.21,Kingsgate Hotel Greymouth
101,Saldanha,PT,48.83,scattered clouds,41.42,-6.55,
113,Sitka,US,51.01,few clouds,37.17,-99.65,
124,Marsala,IT,64.4,broken clouds,37.8,12.44,Villa Favorita Hotel e Resort
130,Rawson,AR,64.4,scattered clouds,-43.3,-65.11,Hospedaje Sampedro
133,Matara,BI,69.8,broken clouds,-3.48,29.48,
135,Paldiski,EE,48.99,moderate rain,59.35,24.08,Pakri Hostel
137,Souillac,FR,50.0,light rain,45.6,-0.6,Jolysable
138,New Norfolk,AU,52.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
139,Chicama,PE,68.0,few clouds,-7.84,-79.15,Tiki Surf House
141,Nome,US,46.4,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
142,Port Pirie,AU,55.4,scattered clouds,-33.18,138.01,John Pirie Motor Inn
143,Bluff,AU,69.26,few clouds,-23.58,149.07,Bluff Hotel
145,Soltsy,RU,46.89,broken clouds,58.12,30.32,Gostinitsa
146,Coffs Harbour,AU,60.8,overcast clouds,-30.3,153.13,Aquajet Motel
158,Luderitz,,69.8,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
159,Ribeira Grande,PT,64.4,few clouds,38.52,-28.7,Quinta da Meia Eira
162,Hargeysa,SO,65.23,overcast clouds,9.56,44.06,Imperial Hotel
164,Broken Hill,AU,55.4,clear sky,-31.97,141.45,Royal Exchange Hotel
165,Kyrnasivka,UA,50.0,broken clouds,48.6,28.98,
167,Bereznehuvate,UA,51.82,clear sky,47.31,32.85,
168,Belur,IN,64.06,few clouds,13.16,75.86,Tri Woods Plantation Farm Stay
169,Dos Hermanas,ES,68.0,few clouds,37.28,-5.92,Hotel TRH La Motilla
172,Sabha,LY,60.76,clear sky,27.03,14.43,محطة سفر غات
173,Payo,ID,67.86,overcast clouds,-3.75,103.64,Legah Hotel
175,Fukue,JP,59.0,light intensity shower rain,35.03,136.69,ホテル ファインガーデン 桑名長島店
179,Helena,US,46.99,clear sky,46.59,-112.04,Holiday Inn Express & Suites Helena
180,Napier,NZ,61.0,overcast clouds,-39.49,176.92,The Nautilus Napier
184,Bredasdorp,ZA,64.4,few clouds,-34.53,20.04,Bredasdorp Country Manor
205,Margate,AU,52.0,overcast clouds,-43.03,147.26,Villa Howden
206,Baghdad,IQ,69.8,scattered clouds,33.3,44.38,Baghdad Hotel
208,Zhifang,CN,55.4,few clouds,30.35,114.31,Echarm Hotel Jiangxia Zhongbai Plaza
210,Shimoda,JP,64.0,shower rain,34.7,138.93,Shimoda Tokyu Hotel
211,Mizan Teferi,ET,63.41,light rain,6.99,35.58,Hotel Salayish | ሆቴል ሳላይሽ
218,Taltal,CL,65.88,clear sky,-25.41,-70.49,Residencial Karime
221,Fortuna,US,51.01,mist,40.6,-124.16,Super 8 By Wyndham Fortuna
222,Pacific Grove,US,63.0,overcast clouds,36.62,-121.92,Lovers Point Inn
226,Necochea,AR,66.0,broken clouds,-38.55,-58.74,dyd -mar Hotel
229,Bantou,CN,52.97,scattered clouds,26.22,117.49,
230,Lompoc,US,64.0,mist,34.64,-120.46,Holiday Inn Express Lompoc
231,Lebu,ET,60.8,broken clouds,8.96,38.73,Dah-Lak Guest House
234,Paonta Sahib,IN,65.41,overcast clouds,30.44,77.62,OYO 37501 The Brighton Hotel
241,Dharmanagar,IN,69.24,clear sky,24.37,92.17,Juri Lodge
244,Katsuura,JP,64.0,broken clouds,33.93,134.5,喜楽の湯
246,Prince Rupert,CA,50.0,broken clouds,54.32,-130.32,Crest Hotel
249,Gazanjyk,TM,47.12,broken clouds,39.24,55.52,Railway motel
250,Marienburg,DE,45.0,broken clouds,52.12,9.98,Hotel Restaurant Itzumer Pass
252,Kawardha,IN,62.53,clear sky,22.01,81.23,STARiHOTELS Raipur Road kawardha
253,Agadir,MA,69.8,overcast clouds,30.42,-9.58,Iberostar Founty Beach
254,Nador,MA,64.4,few clouds,35.17,-2.93,Hôtel La Giralda
255,Ulladulla,AU,59.0,few clouds,-35.36,150.48,Sandpiper Motel
257,Dukat,AL,60.01,light rain,40.25,19.57,Llogora Tourist Village
258,Codrington,AU,64.4,overcast clouds,-28.95,153.24,
261,Byron Bay,AU,69.8,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
263,Mount Gambier,AU,51.8,overcast clouds,-37.83,140.78,Best Western Southgate Motel
265,Ramhormoz,IR,69.8,clear sky,31.28,49.6,فروشگاه مطورعلیان
266,Airai,TL,68.02,clear sky,-8.93,125.41,Juvinal Martin
270,Saint-Joseph,FR,54.0,overcast clouds,43.56,6.97,Hôtel Château de la Tour
272,Vao,EE,48.99,light rain,59.1,26.19,
273,Veraval,FR,46.4,overcast clouds,49.65,0.71,Le Manoir aux Vaches
274,Ploemeur,FR,48.2,heavy intensity rain,47.73,-3.43,Best Western Plus Hotel Les Rives Du Ter
277,Bochnia,PL,57.0,mist,49.97,20.43,Centrum Biznesowe Nowa Bochnia & SPA Noclegi Restauracja Konferencje
280,Paramonga,PE,64.67,broken clouds,-10.68,-77.82,HOSTAL PATIVILCA
283,Kaitangata,NZ,45.0,overcast clouds,-46.28,169.85,
286,Dunedin,NZ,46.99,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
292,Jamkhed,IN,69.06,clear sky,18.74,75.31,कुंदन टॉईज
295,Muswellbrook,AU,51.01,clear sky,-32.27,150.89,Wayfarer Motel
296,Awjilah,LY,63.97,clear sky,29.14,21.3,استراحة التعاون أوجلة
299,Palmer,AU,60.01,broken clouds,-34.85,139.16,Palmer Hotel
300,Bin Qirdan,TN,61.84,clear sky,33.14,11.22,hotel rayes
301,Nemuro,JP,52.72,overcast clouds,43.32,145.57,Hotel Ekahashi / Vacation STAY 8604
302,Port Hardy,CA,46.4,overcast clouds,50.7,-127.42,Airport Inn
311,Teguise,ES,69.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
316,Jamtara,IN,68.58,clear sky,23.95,86.82,Tap resto bar
317,Hasaki,JP,62.6,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
318,Tuatapere,NZ,45.0,scattered clouds,-46.13,167.69,Ron and Tony's Bed & Breakfast
322,Tastur,TN,60.8,scattered clouds,36.55,9.44,"ouled slema,Testour"
323,Chara,GR,59.0,scattered clouds,39.42,22.43,
331,Kolindros,GR,63.0,few clouds,40.48,22.48,
332,Luau,CD,68.14,light rain,-10.7,22.23,Kimbo Hotel
335,Kazerun,IR,60.69,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
336,Mareeba,AU,68.0,broken clouds,-16.99,145.42,Mareeba Country Caravan Park
339,Lithgow,AU,53.6,clear sky,-33.48,150.16,Zig Zag Motel
342,Nagato,JP,63.0,light intensity shower rain,34.35,131.14,Yumoto Kanko Hotel Saikyo
343,Sungaipenuh,ID,62.31,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
345,Charters Towers,AU,65.82,scattered clouds,-20.07,146.27,Cattleman's Rest Motor Inn
350,Nushki,PK,56.91,broken clouds,29.55,66.02,Bismillah Motor shoroom
353,Izumo,JP,59.0,light intensity shower rain,35.37,132.75,Toyoko-Inn Izumoshi ekimae
360,Chaozhou,CN,66.2,mist,23.66,116.62,hello inn
361,Port Augusta,AU,55.4,clear sky,-32.49,137.76,Majestic Oasis Apartments
363,Mollendo,PE,66.15,broken clouds,-17.03,-72.02,Hostal La Casa de Melgar
366,Roma,IT,59.0,few clouds,41.89,12.48,Hotel Cosmopolita Roma
367,Coria,ES,57.99,clear sky,39.98,-6.54,Hotel San Cristóbal
372,Flinders,AU,61.0,clear sky,-34.58,150.85,Shellharbour Resort & Conference Centre
373,Mehran,IR,48.2,broken clouds,33.12,46.17,مجتمع رفاهی نور سپاه
376,Cumbitara,CO,68.0,broken clouds,1.65,-77.58,Hotel inter
377,Padang,ID,68.09,overcast clouds,-0.92,100.36,Mercure Padang
378,Botwood,CA,55.4,light intensity drizzle,49.14,-55.34,The Oasis Motel
382,Muros,ES,57.0,broken clouds,42.77,-9.06,Apartment Av. Castelao
383,Oranjemund,ZA,66.24,clear sky,-28.55,16.43,Sperrgebiet Guest House
405,Nkowakowa,ZA,60.8,thunderstorm with light rain,-23.89,30.29,Moytel 966A Guest House & Spa
407,Hoquiam,US,53.01,overcast clouds,46.98,-123.89,Econo Lodge Inn & Suites
