City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ugoofaaru,5.67,73.0,82.83,70,75,5.97,MV,2019-11-12 01:08:57
1,Corvallis,44.56,-123.26,59.0,66,1,2.98,US,2019-11-12 01:08:57
2,Lebu,8.96,38.73,51.8,66,20,6.93,ET,2019-11-12 01:08:58
3,Rikitea,-23.12,-134.97,67.75,94,100,34.96,PF,2019-11-12 01:08:58
4,Babstovo,48.12,132.48,26.26,58,0,11.03,RU,2019-11-12 01:08:58
5,Kodiak,39.95,-94.76,18.0,61,1,12.75,US,2019-11-12 01:08:58
6,Puerto Ayora,-0.74,-90.35,78.8,57,1,5.82,EC,2019-11-12 01:08:59
7,Honiara,-9.43,159.96,87.8,70,20,5.82,SB,2019-11-12 01:08:59
8,Bambanglipuro,-7.95,110.28,80.02,70,56,8.57,ID,2019-11-12 01:08:59
9,Busselton,-33.64,115.35,64.0,56,0,3.0,AU,2019-11-12 01:08:59
10,Isla Vista,34.41,-119.86,70.0,77,1,4.7,US,2019-11-12 01:08:59
11,Bubaque,11.28,-15.83,83.5,63,100,7.78,GW,2019-11-12 01:09:00
12,Avarua,-21.21,-159.78,77.0,78,33,17.22,CK,2019-11-12 01:09:00
13,Grindavik,63.84,-22.43,41.0,86,90,8.05,IS,2019-11-12 01:09:00
14,Tasiilaq,65.61,-37.64,39.2,69,100,32.21,GL,2019-11-12 01:09:00
15,Kaeo,-35.1,173.78,64.99,59,18,11.01,NZ,2019-11-12 01:09:01
16,Puerto Narino,-3.77,-70.38,77.0,100,40,2.24,CO,2019-11-12 01:09:01
17,Yuzawa,39.05,140.54,55.4,71,75,9.17,JP,2019-11-12 01:09:01
18,Hobart,-42.88,147.33,57.0,56,40,17.22,AU,2019-11-12 01:09:02
19,Tuktoyaktuk,69.44,-133.03,15.8,78,90,16.11,CA,2019-11-12 01:09:03
20,Tiksi,71.64,128.87,-3.54,89,100,4.83,RU,2019-11-12 01:09:03
21,Mar Del Plata,-46.43,-67.52,56.71,70,0,11.56,AR,2019-11-12 01:09:03
22,Sitka,37.17,-99.65,27.21,33,50,10.98,US,2019-11-12 01:09:04
23,Mataura,-46.19,168.86,59.86,43,20,2.89,NZ,2019-11-12 01:09:04
24,Longyearbyen,78.22,15.63,33.8,69,75,24.16,NO,2019-11-12 01:09:04
25,Hami,42.84,93.51,34.9,33,100,8.88,CN,2019-11-12 01:09:04
26,Airai,-8.93,125.41,84.22,19,0,5.23,TL,2019-11-12 01:09:05
27,Ahipara,-35.17,173.16,59.34,64,0,23.17,NZ,2019-11-12 01:09:05
28,Punta Arenas,-53.16,-70.91,48.2,76,2,4.7,CL,2019-11-12 01:09:06
29,Zadar,44.12,15.24,60.01,93,75,6.93,HR,2019-11-12 01:09:06
30,Tateyama,36.66,137.31,64.0,77,20,3.36,JP,2019-11-12 01:09:06
31,Kununurra,-15.77,128.74,96.8,19,8,9.17,AU,2019-11-12 01:09:06
32,Dingle,11.0,122.67,77.67,87,91,8.34,PH,2019-11-12 01:09:06
33,North Bend,43.41,-124.22,61.0,87,1,10.29,US,2019-11-12 01:09:07
34,Joensuu,62.6,29.76,33.01,100,90,10.29,FI,2019-11-12 01:09:07
35,Qaanaaq,77.48,-69.36,4.75,48,0,2.82,GL,2019-11-12 01:09:07
36,Zvishavane,-20.32,30.05,67.41,79,100,0.22,ZW,2019-11-12 01:09:07
